"型号品名";"规格";"加工要求";"单位";"进货价";"销售价";"类别";"品牌";"goodsID"
"MCK2-031薄款乳胶床垫";"120*200*5";;"张";"1621.00";"5083.00";"床垫";"慕思.凯奇";"5980"
"MCK1-001A全3D椰维康床垫";"147*199*5";;"张";"0.00";"4345.00";"床垫";"慕思.凯奇";"7707"
"MCK3-006六面乳胶独立筒弹簧床垫";"200*200*20";;"张";"6005.00";"19192.00";"床垫";"慕思.凯奇";"2371"
"MCK5-060独立筒乳胶床垫";"180*200*25";;"张";"0.00";"22610.00";"床垫";"慕思.凯奇";"3728"
"MCK1-001护脊连体弹簧单面加2CM床垫";"90*200*22";;"张";"0.00";"2589.00";"床垫";"慕思.凯奇";"6759"
"MCK1-051标准弹簧床垫";"135*188*13";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"7566"
"MCK1-001护脊连体弹簧床垫";"180*200*27";;"张";"1998.22";"4710.00";"床垫";"慕思.凯奇";"3159"
"MCK1-001护脊连体弹簧床垫";"100*190*22";"2012年客户退货";"张";"0.00";"2564.00";"床垫";"慕思.凯奇";"5226"
"MCK3-029七区乳胶独立筒弹簧床垫";"180*200*25";"居然摆场";"张";"2428.00";"8378.00";"床垫";"慕思.凯奇";"2374"
"MCK1-001A全3D椰维康床垫";"135*190*5";;"张";"0.00";"3078.00";"床垫";"慕思.凯奇";"6875"
"MCK6-001凝胶床垫";"180*200*22";;"张";"0.00";"36888.00";"床垫";"慕思.凯奇";"7333"
"MCK3-003独立筒弹簧床垫";"180*200*17";;"张";"2527.00";"9148.00";"床垫";"慕思.凯奇";"2721"
"MCK3-038独立筒弹簧床垫";"180*200*21";;"张";"0.00";"5999.00";"床垫";"慕思.凯奇";"6574"
"MCK1-001护脊连体弹簧单面加2CM床垫";"200*220*26";;"张";"0.00";"7793.00";"床垫";"慕思.凯奇";"2622"
"MCK1-051标准弹簧床垫";"120*200*15";;"张";"0.00";"3009.00";"床垫";"慕思.凯奇";"6666"
"MCK1-001护脊连体弹簧床垫";"150*216*20";;"张";"1145.00";"3618.00";"床垫";"慕思.凯奇";"1709"
"MCK1-020清透棉连体弹簧床垫";"180*200*23";;"张";"2431.00";"8822.00";"床垫";"慕思.凯奇";"826"
"MCK1-001A全3D椰维康床垫";"180*200*5";;"张";"1342.00";"3621.00";"床垫";"慕思.凯奇";"857"
"MCK3-053床垫";"180*200*24";;"张";"0.00";"5254.00";"床垫";"慕思.凯奇";"6310"
"MCK1-051标准弹簧床垫";"179*197*17";;"张";"0.00";"4512.00";"床垫";"慕思.凯奇";"7976"
"MCK1-001护脊连体弹簧床垫";"150*200*22";"做折叠";"张";"1167.18";"3870.00";"床垫";"慕思.凯奇";"3750"
"MCK5-032乳胶超微独立筒弹簧床垫";"116*184*9";;"张";"0.00";"6602.00";"床垫";"慕思.凯奇";"7651"
"MCK3-026独立筒弹簧床垫";"200*210*23";;"张";"2601.00";"9152.00";"床垫";"慕思.凯奇";"2469"
"MCK1-001A全3D椰维康床垫";"148*180*8";;"张";"0.00";"4062.00";"床垫";"慕思.凯奇";"6230"
"MCK3-053床垫";"180*200*22";"加硬";"张";"1599.00";"4797.00";"床垫";"慕思.凯奇";"8297"
"MCK3-031床垫";"180*200*5";;"张";"0.00";"7262.00";"床垫";"慕思.凯奇";"6867"
"MCK1-001护脊连体弹簧床垫";"155*236*12";;"张";"0.00";"4420.00";"床垫";"慕思.凯奇";"6939"
"MCK3-038独立筒弹簧床垫";"180*200*23";"做折叠";"张";"2108.96";"6193.00";"床垫";"慕思.凯奇";"3763"
